semantic_sign_id,name_en,category,severity,parameter_type,priority,required_for,assignment_sign_ids,assignment_image_count,assignment_parameter_values,current_p5_crops,train_count,validation_count,test_count,tiny_crop_count,minimum_clean_crops,good_target_crops,strong_target_crops,gap_to_minimum,gap_to_good,split_status,qc_risk,data_status,collection_rank,recommended_next_step,limitation_if_not_fixed,include_in_next_classifier,weak_class_contact_sheet
sound_horn,Sound horn,mandatory,caution,none,must,assignment,sign_029,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
steep_descent,Steep descent,warning,critical,none,must,assignment;secondary_malaysia,sign_040,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
stop_for_checking,Stop for checking,regulatory,critical,none,must,assignment;multilingual_text,sign_057,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
straight_ahead,Straight ahead only,mandatory,warning,direction,must,assignment,sign_021,4,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
straight_or_right,Straight or right,mandatory,warning,direction,must,assignment,sign_020,4,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
tractors_ahead,Tractors ahead,warning,warning,none,must,assignment,sign_051,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
turn_left,Turn left,mandatory,warning,direction,must,assignment,sign_022,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
turn_left_or_right,Turn left or right,mandatory,warning,direction,must,assignment,sign_023,4,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
turn_right,Turn right,mandatory,warning,direction,must,assignment,sign_024,2,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
uneven_road,Uneven road,warning,warning,none,must,assignment;secondary_malaysia,sign_049,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
width_restriction,Width restriction,regulatory,critical,width,must,common_malaysia;ocr_value;current_p5_dataset,,0,,1,1,0,0,0,50,100,200,49,99,missing_validation_test,none,below_minimum,P0_collect_now,Collect and annotate at least 49 more clean crops; aim for 100 total. Store OCR transcript/value/unit for each sample.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/width_restriction.jpg
permitted_u_turn,U-turn permitted,mandatory,information,direction,must,assignment;current_p5_dataset,sign_031,2,,3,0,2,1,0,50,150,300,47,147,missing_train,none,below_minimum,P0_collect_now,Collect and annotate at least 47 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/permitted_u_turn.jpg
double_curve,Double curve,warning,warning,none,must,assignment;secondary_malaysia;current_p5_dataset,sign_038;sign_046,2,,4,2,1,1,0,50,150,300,46,146,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 46 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/double_curve.jpg
no_straight_ahead,No straight ahead,regulatory,warning,direction,must,assignment;current_p5_dataset,sign_010,1,,7,0,7,0,5,50,150,300,43,143,missing_train_test,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 43 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_straight_ahead.jpg
pass_either_side,Pass either side,mandatory,caution,direction,must,common_malaysia;current_p5_dataset,,0,,10,6,2,2,0,50,100,200,40,90,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 40 more clean crops; aim for 100 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/pass_either_side.jpg
no_overtaking,No overtaking,regulatory,warning,none,must,assignment;common_malaysia;current_p5_dataset,sign_014,1,,11,7,2,2,3,50,150,300,39,139,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 39 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_overtaking.jpg
no_left_turn,No left turn,regulatory,warning,direction,must,assignment;common_malaysia;current_p5_dataset,sign_011,2,,12,8,2,2,1,50,150,300,38,138,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 38 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_left_turn.jpg
no_heavy_vehicle,No heavy vehicles,regulatory,warning,none,must,common_malaysia;current_p5_dataset,,0,,13,10,2,1,5,50,100,200,37,87,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 37 more clean crops; aim for 100 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_heavy_vehicle.jpg
side_road_right,Side road on right,warning,caution,direction,must,assignment;secondary_malaysia;current_p5_dataset,sign_043,1,,14,12,1,1,3,50,150,300,36,136,ok,known_noise_history,below_minimum,P0_collect_now,Collect and annotate at least 36 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/side_road_right.jpg
roundabout_ahead,Roundabout ahead,warning,warning,none,must,common_malaysia;demo_default;current_p5_dataset,,0,,15,11,2,2,2,50,150,300,35,135,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 35 more clean crops; aim for 150 total. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/roundabout_ahead.jpg
no_u_turn,No U-turn,regulatory,warning,direction,must,assignment;common_malaysia;current_p5_dataset,sign_015,1,,17,12,3,2,1,50,150,300,33,133,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 33 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_u_turn.jpg
camera_enforcement,Camera enforcement,information,information,none,must,common_malaysia;demo_default;current_p5_dataset,,0,,18,13,2,3,5,50,150,300,32,132,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 32 more clean crops; aim for 150 total. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/camera_enforcement.jpg
roadworks,Roadworks,temporary,warning,none,must,assignment;common_malaysia;demo_default;current_p5_dataset,sign_048,1,,19,12,3,4,7,50,150,300,31,131,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 31 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/roadworks.jpg
general_caution,General caution,warning,warning,none,must,assignment;common_malaysia;current_p5_dataset,sign_034,2,,21,14,3,4,12,50,150,300,29,129,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 29 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/general_caution.jpg
weight_restriction,Weight restriction,regulatory,critical,weight,must,common_malaysia;ocr_value;current_p5_dataset,,0,,21,13,4,4,2,50,100,200,29,79,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 29 more clean crops; aim for 100 total. Store OCR transcript/value/unit for each sample.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/weight_restriction.jpg
children_crossing,Children crossing,warning,critical,none,must,assignment;common_malaysia;demo_default;current_p5_dataset,sign_037,3,,25,16,4,5,1,50,150,300,25,125,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 25 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/children_crossing.jpg
stop,Stop,regulatory,critical,none,must,assignment;common_malaysia;demo_default;multilingual_text;current_p5_dataset,sign_052,1,,25,17,4,4,8,50,150,300,25,125,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 25 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/stop.jpg
no_parking,No parking,regulatory,information,none,must,common_malaysia;demo_default;current_p5_dataset,,0,,27,19,4,4,4,50,150,300,23,123,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 23 more clean crops; aim for 150 total. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_parking.jpg
no_entry,No entry,regulatory,critical,none,must,assignment;common_malaysia;demo_default;current_p5_dataset,sign_055,1,,30,24,2,4,3,50,150,300,20,120,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 20 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_entry.jpg
keep_right,Keep right,mandatory,warning,direction,must,assignment;common_malaysia;current_p5_dataset,sign_026,1,,31,19,6,6,15,50,150,300,19,119,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 19 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/keep_right.jpg
traffic_signal_ahead,Traffic signals ahead,warning,warning,none,must,assignment;common_malaysia;demo_default;current_p5_dataset,sign_033,1,,33,22,5,6,7,50,150,300,17,117,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 17 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/traffic_signal_ahead.jpg
no_stopping,No stopping,regulatory,warning,none,must,common_malaysia;demo_default;current_p5_dataset,,0,,34,15,11,8,3,50,150,300,16,116,ok,known_noise_history,below_minimum,P0_collect_now,Collect and annotate at least 16 more clean crops; aim for 150 total. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/no_stopping.jpg
pedestrian_crossing,Pedestrian crossing,warning,warning,none,must,assignment;common_malaysia;demo_default;current_p5_dataset,sign_035,3,,35,26,4,5,0,50,150,300,15,115,ok,none,below_minimum,P0_collect_now,Collect and annotate at least 15 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/pedestrian_crossing.jpg
give_way,Give way,regulatory,critical,none,must,assignment;common_malaysia;demo_default;multilingual_text;current_p5_dataset,sign_056,1,,41,27,7,7,18,50,150,300,9,109,ok,high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 9 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training. Capture phone/laptop-camera examples from real or printed demo signs.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/give_way.jpg
keep_left,Keep left,mandatory,warning,direction,must,common_malaysia;current_p5_dataset,,0,,44,25,10,9,22,50,100,200,6,56,ok,known_noise_history;high_tiny_crop_rate,below_minimum,P0_collect_now,Collect and annotate at least 6 more clean crops; aim for 100 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/keep_left.jpg
height_restriction,Height restriction,regulatory,critical,height,must,common_malaysia;demo_default;ocr_value;current_p5_dataset,,0,,97,56,26,15,11,50,150,300,0,53,ok,known_noise_history,ready_count_qc_risk,P1_fix_before_training,Run targeted QC/final split audit before training claim; collect only if QC removes too many samples.,May train a noisy decision boundary unless QC confirms labels.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/height_restriction.jpg
maximum_speed,Maximum speed,regulatory,critical,speed,must,assignment;common_malaysia;demo_default;ocr_value;current_p5_dataset,sign_000;sign_001;sign_002;sign_003;sign_004;sign_005;sign_007,13,15;30;40;5;50;60;80,144,89,28,27,26,50,150,300,0,6,ok,known_noise_history,ready_count_qc_risk,P1_fix_before_training,Run targeted QC/final split audit before training claim; collect only if QC removes too many samples.,May train a noisy decision boundary unless QC confirms labels.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/maximum_speed.jpg
road_hump,Road hump,warning,warning,none,must,common_malaysia;demo_default;current_p5_dataset,,0,,54,31,13,10,10,50,150,300,0,96,ok,none,ready_minimum,P5_ready_queue,Can be included in next classifier training after dataset freeze.,No major data-count limitation for the next training pass.,yes,
low_clearance,Low clearance ahead,warning,critical,height,should,secondary_malaysia;ocr_value,,0,,0,0,0,0,0,50,100,300,50,100,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 50 more clean crops; aim for 100 total. Store OCR transcript/value/unit for each sample.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
minimum_speed,Minimum speed,mandatory,warning,speed,should,secondary_malaysia;ocr_value,,0,,0,0,0,0,0,50,100,300,50,100,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 50 more clean crops; aim for 100 total. Store OCR transcript/value/unit for each sample.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
temporary_speed_limit,Temporary speed limit,temporary,critical,speed,should,secondary_malaysia;ocr_value,,0,,0,0,0,0,0,50,100,300,50,100,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 50 more clean crops; aim for 100 total. Store OCR transcript/value/unit for each sample.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
curve_right,Right curve,warning,warning,direction,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
divided_road_ends,Divided road ends,warning,warning,none,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
falling_rocks,Falling rocks,warning,critical,none,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
flagman_ahead,Flagman ahead,temporary,critical,none,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
flood_area,Flood area,warning,critical,none,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
road_narrows_left,Road narrows on left,warning,warning,direction,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
road_narrows_right,Road narrows on right,warning,warning,direction,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
steep_ascent,Steep ascent,warning,warning,none,should,secondary_malaysia,,0,,0,0,0,0,0,30,80,150,30,80,no_samples,none,missing_data,P2_collect_after_P0,Collect and annotate at least 30 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
slippery_road,Slippery road,warning,critical,none,should,secondary_malaysia;current_p5_dataset,,0,,2,2,0,0,1,30,80,150,28,78,missing_validation_test,high_tiny_crop_rate,below_minimum,P2_collect_after_P0,Collect and annotate at least 28 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/slippery_road.jpg
animal_crossing,Animals crossing,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,6,4,1,1,2,30,80,150,24,74,ok,known_noise_history;high_tiny_crop_rate,below_minimum,P2_collect_after_P0,Collect and annotate at least 24 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/animal_crossing.jpg
staggered_junction,Staggered junction ahead,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,6,4,1,1,1,30,80,150,24,74,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 24 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/staggered_junction.jpg
obstruction_ahead,Obstruction ahead,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,8,0,5,3,0,30,80,150,22,72,missing_train,known_noise_history,below_minimum,P2_collect_after_P0,Collect and annotate at least 22 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/obstruction_ahead.jpg
two_way_traffic,Two-way traffic,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,8,6,1,1,0,30,80,150,22,72,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 22 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/two_way_traffic.jpg
crosswind,Crosswind,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,9,7,1,1,1,30,80,150,21,71,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 21 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/crosswind.jpg
t_junction,T-junction ahead,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,10,6,2,2,0,30,80,150,20,70,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 20 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/t_junction.jpg
curve_left,Left curve,warning,warning,direction,should,secondary_malaysia;current_p5_dataset,,0,,12,8,2,2,1,30,80,150,18,68,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 18 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/curve_left.jpg
crossroads,Crossroads ahead,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,13,9,2,2,0,30,80,150,17,67,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 17 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/crossroads.jpg
merge_right,Traffic merging from right,warning,warning,direction,should,current_p5_dataset,,0,,13,7,3,3,0,30,80,150,17,67,ok,none,below_minimum,P2_collect_after_P0,Collect and annotate at least 17 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/merge_right.jpg
